target,model,group,rmse,mae,r2,adjusted_r2,mape,smape,explained_variance,median_abs_error,max_error,mean_bias_error,stability_mean_rmse,stability_std_rmse,stability_mean_r2,stability_std_r2,beats_naive,rank_rmse,rank_r2,rank_mae,rank_stability,avg_rank,leaderboard_position
target_Operating_Profit,random_forest,tree,1880.4298410797949,1178.7987680626782,0.9702679710058679,0.9679865077619966,6.7835009580672665,6.684476271158448,0.9703547049327359,649.9605500000052,12427.940299999966,101.56389911681005,1879.156463668398,69.19083954298124,0.9702323520196398,0.0025961415417850944,False,5.0,5.0,4.0,2.0,4.0,4
target_Operating_Profit,hist_gradient_boosting,tree,2003.0729363715454,1217.9610520929937,0.9662632063305875,0.9636744407021796,6.90324530887859,6.804297886415349,0.9663118173232832,675.2575169254742,16137.473974426328,76.03474708506899,2001.9908845137227,65.83074318346692,0.9662274608099582,0.002664999593306657,False,6.0,6.0,5.0,1.0,4.5,5
target_Operating_Profit,lasso,linear,1865.9059199297715,1269.6642245489372,0.9707254812881334,0.9684791247264494,8.70799591693749,8.469213757136883,0.9714653192757137,835.6866555601482,10269.424634939824,296.6287038477103,1861.9940299429684,120.76064957473216,0.970666714439124,0.004268620650565166,False,4.0,4.0,7.0,9.0,6.0,6
target_Operating_Profit,lightgbm,boosting,2020.13704711482,1241.8178397084234,0.9656859527441062,0.9630528920277239,7.168178531630942,7.043081527550922,0.9658582852378949,674.8523164096614,16588.823490133345,143.16222747942604,2018.1789091907776,88.92457266306849,0.9656359710925985,0.0035514501592869446,False,7.0,7.0,6.0,7.0,6.75,7
target_Operating_Profit,xgboost,boosting,2072.3854976863586,1304.2739600972668,0.9638880144806443,0.9611169904229897,7.600140379090739,7.4843617360186645,0.9639340162880221,720.6175781249985,12137.936093749999,73.96602981993412,2068.727050337052,123.08550777608218,0.9638216609237255,0.00484827202589284,False,8.0,8.0,8.0,10.0,8.5,8
target_Operating_Profit,catboost,boosting,2078.1348690245018,1343.0199307667622,0.9636873672418788,0.9609009466803287,9.039928667731127,8.692695412738615,0.9636950169382951,900.720786970991,17781.853766331442,30.162474016555116,2075.352571111002,107.49995087643707,0.9636699067295056,0.0038068103942419692,False,9.0,9.0,9.0,8.0,8.75,9
target_Operating_Profit,decision_tree,tree,2690.8287612515014,1678.19694017094,0.9391189126108854,0.9344472515159564,9.581264770943234,9.520212994920406,0.9391235896457043,927.5699999999997,21197.079999999994,23.58468945868948,2689.4345546271907,86.60946112021597,0.939064425622567,0.004536244371617469,False,10.0,10.0,10.0,6.0,9.0,10
target_Operating_Profit,multioutput_random_forest,benchmark,4009.928721883479,2455.9869512820515,0.8647978541677723,0.8548686880111828,15.684439648722154,14.455494578431663,0.8648781940524388,1386.4114500000142,37554.9767,-97.74858125356089,4009.928721883479,,0.8647978541677723,,False,11.0,11.0,11.0,11.0,11.0,11
target_Operating_Profit,linear_regression,linear,2480083.2891911,2071204.5170690126,-51717.12967878325,-55685.67861054991,20647.991983222193,191.2192843300374,-50445.104168944184,2523407.8010141975,3480588.1892261165,388949.1002421519,2071309.115013714,1363998.4132637584,-51253.132178628955,40818.154925426235,False,12.0,12.0,12.0,11.0,11.75,12
target_Sales,ridge,linear,3159.195647655635,2004.9464594093677,0.9984223739447544,0.9983013160829338,2.2764047732226653,2.2759848811560843,0.9984351880955781,1151.856280018932,18616.643436190847,284.72093617599654,3150.4308379032827,235.16520948967957,0.9984223370595968,0.00023919957192287158,True,1.0,1.0,2.0,4.0,2.0,1
target_Sales,elastic_net,linear,3258.572535016899,2100.3033380469924,0.9983215600388907,0.998192766303385,2.4256451013662623,2.4250125242967306,0.9983426366345499,1225.9888063768158,22304.81086569396,365.15287070942964,3253.9931280286874,172.6953638883756,0.9983194263201804,0.00019095067124686685,True,2.0,2.0,5.0,1.0,2.5,2
target_Sales,extra_trees,tree,3275.019374081437,2001.3939387179455,0.9983045742597444,0.9981744771341876,2.016457759933176,2.004735411544431,0.9983468792341281,1071.6427499999918,19122.92194999958,517.3330275498414,3264.048467026785,267.84231463468086,0.9983053875954654,0.00027352385231544995,False,3.0,3.0,1.0,6.0,3.25,3
target_Sales,hist_gradient_boosting,tree,3485.1143407975765,2061.636571960824,0.9980800713574381,0.9979327471829015,2.0493181963505935,2.0381922120513662,0.9981158458228013,1068.92106713471,23582.03527008125,475.73057402258655,3480.221143212592,184.61517480684734,0.9980805320938458,0.00019857425187488057,False,5.0,5.0,3.0,2.0,3.75,4
target_Sales,random_forest,tree,3401.0159437108646,2081.5483309686565,0.9981716120046965,0.9980313121278316,2.0826945556260763,2.0694522700324867,0.9982219101585618,1112.8727000000363,18973.852500000095,564.0927394016935,3390.876839309258,262.4189589407783,0.9981728645547165,0.0002715310744423276,False,4.0,4.0,4.0,5.0,4.25,5
target_Sales,lightgbm,boosting,3561.321443753954,2118.0349050935843,0.997995189284724,0.9978413517528582,2.1206656550738634,2.1090114206638555,0.9980363441716676,1085.5754664373017,24346.46529952594,510.2525617394969,3555.034232977597,211.52311481050745,0.997995094908405,0.00024137625131069905,False,6.0,6.0,6.0,3.0,5.25,6
target_Sales,xgboost,boosting,3659.3590653360197,2191.8697699207623,0.9978832913885334,0.9977208674619322,2.2598039066575515,2.252058525516822,0.9978944622493099,1145.4260937500003,23436.56812499999,265.8384566194799,3649.394403667288,269.8689599394268,0.9978855166830445,0.0002881095780927133,False,7.0,7.0,7.0,7.0,7.0,7
target_Sales,lasso,linear,4399.986997143175,3433.29860702893,0.9969397718093364,0.9967049476694757,6.175199723062411,6.55181781715124,0.997339754547364,2695.042501459946,21868.92074067914,-1590.725019182416,4229.5307097911245,1212.8295634436045,0.9969578687606506,0.0017280409324922925,False,8.0,8.0,9.0,9.0,8.5,8
target_Sales,decision_tree,tree,4558.2970594281705,2809.9783190883186,0.9967155982566878,0.9964635723402273,2.8371917503919004,2.8150056175463027,0.9967785603265885,1448.9400000000023,31444.72000000003,631.1229686609687,4542.340262391966,381.0735134385584,0.9967207776803034,0.0005028023533445094,False,9.0,9.0,8.0,8.0,8.5,9
target_Sales,catboost,boosting,5757.122577608214,3797.8532344525556,0.9947608361833259,0.9943588131771355,6.00454975106046,5.602122554518029,0.9947679323364458,2502.0340511385293,45488.532944785955,211.87805441012796,5404.421024400904,1984.11032067769,0.994758147878854,0.003834749656909132,False,10.0,10.0,10.0,10.0,10.0,10
target_Sales,multioutput_random_forest,benchmark,13892.000971383739,6936.419987749291,0.9694943252569039,0.9672540064263216,6.39086694601698,6.197418773035192,0.9695800046667631,2521.337750000006,151588.49020000006,-736.2286614245077,13892.000971383739,,0.9694943252569039,,False,11.0,11.0,11.0,11.0,11.0,11
target_Sales,linear_regression,linear,30423640.392799575,23932377.02990481,-146308.78885471978,-157535.75239483026,50991.04947678471,199.10597753415485,-70519.9555663106,20141902.2810875,48607441.83350751,21896620.830231264,23932381.860716492,18784008.976340324,-144594.0876540373,160073.08863094146,False,12.0,12.0,12.0,11.0,11.75,12
target_Total_Assets,elastic_net,linear,98097.32802179197,50523.93356230075,0.9892919210956789,0.9884702453049851,10.099709740352383,10.32405032988911,0.989326667839186,21747.013570027615,795344.5180952977,-5588.026423714102,98066.3662062506,2464.464265637461,0.9892876072596198,0.0005898312442557887,False,1.0,1.0,6.0,1.0,2.25,1
target_Total_Assets,extra_trees,tree,98520.39002427088,45440.64579239317,0.9891993609822111,0.9883705826659289,6.559346906718116,6.5108803445009436,0.9892146029966223,13075.619449994992,874626.6356499982,3701.0297902279617,98434.25313761046,4118.866321608449,0.9891854498173047,0.001037362856883741,False,2.0,2.0,1.0,5.0,2.5,2
target_Total_Assets,random_forest,tree,99653.4686533339,46032.51642347574,0.9889494970212259,0.9881015455955987,6.575798877488255,6.519492339905557,0.9889820618673305,13201.56084999998,851859.9703500029,5409.734010256411,99562.9435463065,4246.655982769417,0.9889361684519448,0.0010614040128295826,False,3.0,3.0,2.0,7.0,3.75,3
target_Total_Assets,hist_gradient_boosting,tree,103532.90839456537,47371.563717889796,0.9880723734071382,0.9871571166090364,6.777362065268758,6.720234275947501,0.988072450781984,13118.739690195827,1001769.8454278717,263.6946358096945,103490.11949834942,2976.287428126292,0.9880604325913217,0.0008499324400446164,False,7.0,7.0,4.0,2.0,5.0,4
target_Total_Assets,ridge,linear,100030.74977535252,51884.92673419341,0.9888656657553747,0.9880112816052347,10.687581171261412,10.990511259901451,0.9889062010433957,22202.28430125701,887859.7871088358,-6035.566348816358,99944.72321714576,4147.674247975176,0.9888573806164297,0.0009903312975175535,False,4.0,4.0,7.0,6.0,5.25,5
target_Total_Assets,multioutput_random_forest,benchmark,100454.5007067797,46053.38644626779,0.9887711312623315,0.9879464897393693,6.580954347098131,6.5147711713610885,0.9888100933570378,13096.426950000226,866634.0947000021,5917.285797948747,100454.5007067797,,0.9887711312623315,,False,5.0,5.0,3.0,11.0,6.0,6
target_Total_Assets,lightgbm,boosting,105759.54669972153,49630.57056268627,0.9875538116864291,0.9865987634732944,7.098705984631478,7.040589569855463,0.9875563972651532,13378.260627499476,902610.4456397844,1524.334501874705,105636.32723715114,5103.732553347602,0.9875635005244222,0.00109020062488758,False,8.0,8.0,5.0,8.0,7.25,7
target_Total_Assets,lasso,linear,102836.22970312163,58994.75675741692,0.9882323566457119,0.9873293760322766,17.944714484775254,16.682772727454566,0.9884402628998628,33801.443556868195,837930.8626185702,13668.950593809017,102706.36492595582,5166.502032283466,0.9882204533558516,0.0012663580189509523,False,6.0,6.0,9.0,9.0,7.5,8
target_Total_Assets,xgboost,boosting,112542.00138297431,52502.99520245727,0.985906252888876,0.9848247805813926,7.5653169926004615,7.528665959907121,0.9859065362146003,14058.755312499998,1101414.0899999999,504.59669391025824,112476.91992273666,3826.8211324382587,0.9859140938183959,0.0008117291016364588,False,9.0,9.0,8.0,4.0,7.5,9
target_Total_Assets,decision_tree,tree,125079.80606992343,61197.089584045585,0.9825910890130106,0.9812552302816578,9.325520960687498,9.272443201074038,0.9826284023894862,18242.73000000001,1099948.62,5790.734746438748,125023.19409907733,3762.8212492876733,0.9826025648878577,0.0007899209637679867,False,11.0,11.0,10.0,3.0,8.75,10
target_Total_Assets,catboost,boosting,123371.32529262773,62615.43805200704,0.9830634220050886,0.981763807364595,14.257997181074453,12.861564563534614,0.983071603118849,31784.031020679104,1039199.29952808,-2711.487537658401,123007.05716473232,9473.531133196298,0.983085666484822,0.0024876571104092806,False,10.0,10.0,11.0,10.0,10.25,11
target_Total_Assets,linear_regression,linear,1890195022.7032166,1415445518.2502043,-3975669.989485669,-4280739.893528461,736895.3170400772,199.4244790267103,-1746292.9624451709,928500525.7963407,3134755803.182144,1415445518.2502043,1415447354.5707004,1252735411.1267147,-4049064.701918742,5044032.09499627,False,12.0,12.0,12.0,11.0,11.75,12
