Company,Ticker,Sector,Year,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit Before Tax,Tax,Net Profit,EPS,Equity,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets,CFO,CFI,CFF,Net Cash Flow,Free Cash Flow,Debtor Days,Inventory Days,Days Payable,Cash Conversion Cycle,Working Capital Days,CPI_Combined_Index,CPI_Inflation_Rate,WPI,Repo_Rate,Reverse_Repo_Rate,oil_price,exchange_rate
Phoenix Mills,PHOENIXLTD,Real Estate,Mar 2023,2616,1096,1519,58%,721,341,228,1671.0,12%,1478,37.37,36.0,8344.0,4259.0,4787.0,17426.0,10964.0,2295.0,1282.0,2884.0,17426.0,1356.0,-1528.0,132.0,-40.0,-468.0,33.0,,,33.0,-111.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Kolte-Patil,KOLTEPATIL,Real Estate,Mar 2023,1488,1301,188,13%,33,41,12,168.0,33%,113,13.69,76.0,791.0,561.0,2603.0,4032.0,109.0,10.0,46.0,3866.0,4032.0,198.0,-59.0,-59.0,79.0,179.0,7.0,970.0,125.0,851.0,102.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Hindustan Unilever,HINDUNILVR,FMCG,Mar 2023,60580,46433,14147,23%,448,114,1137,13344.0,24%,10143,43.07,235.0,50069.0,1219.0,21554.0,73077.0,52678.0,1132.0,2882.0,16385.0,73077.0,9991.0,-1484.0,-8953.0,-446.0,8980.0,19.0,55.0,123.0,-50.0,-15.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Reliance Industries,RELIANCE,Oil & Gas,Mar 2023,876396,734078,142318,16%,12020,19571,40303,94464.0,22%,74088,49.29,6766.0,709106.0,451664.0,438346.0,1605882.0,724805.0,293752.0,235560.0,351765.0,1605882.0,115032.0,-93001.0,10455.0,32486.0,-16770.0,12.0,87.0,91.0,7.0,-66.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Coromandel International,COROMANDEL,Agriculture,Mar 2023,29628,26726,2902,10%,171,190,182,2701.0,25%,2013,68.46,29.0,7878.0,393.0,5934.0,14235.0,2200.0,399.0,287.0,11348.0,14235.0,591.0,640.0,-543.0,688.0,22.0,7.0,69.0,83.0,-7.0,37.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Blue Dart Express,BLUEDART,Ports & Infrastructure,Mar 2023,5172,4235,938,18%,32,67,394,508.0,27%,371,156.16,24.0,1156.0,1120.0,923.0,3223.0,1437.0,439.0,171.0,1176.0,3223.0,717.0,-514.0,-291.0,-89.0,147.0,45.0,,,45.0,-23.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
PI Industries,PIIND,Agriculture,Mar 2023,6492,4948,1544,24%,166,39,226,1444.0,15%,1230,81.04,15.0,7183.0,46.0,1235.0,8480.0,2606.0,132.0,1016.0,4726.0,8480.0,1501.0,-496.0,-483.0,522.0,1179.0,43.0,144.0,86.0,101.0,70.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Dixon Technologies,DIXON,Consumer Durables,Mar 2023,12192,11673,519,4%,4,64,115,345.0,26%,255,42.9,12.0,1273.0,453.0,2941.0,4679.0,1244.0,120.0,44.0,3272.0,4679.0,726.0,-356.0,-330.0,41.0,276.0,51.0,32.0,81.0,2.0,-2.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Anant Raj,ANANTRAJ,Real Estate,Mar 2023,957,760,197,21%,48,32,17,197.0,27%,149,4.73,65.0,2760.0,1079.0,452.0,4357.0,1305.0,18.0,460.0,2573.0,4357.0,33.0,-20.0,2.0,15.0,-5.0,20.0,,,20.0,659.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Cera Sanitaryware,CERA,Consumer Durables,Mar 2023,1810,1510,301,17%,23,6,33,285.0,26%,211,161.0,6.0,1166.0,53.0,451.0,1677.0,339.0,17.0,663.0,657.0,1677.0,162.0,-105.0,-60.0,-3.0,124.0,38.0,169.0,92.0,116.0,44.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Oberoi Realty,OBEROIRLTY,Real Estate,Mar 2023,4193,2081,2112,50%,321,169,40,2224.0,14%,1905,52.38,364.0,11847.0,3944.0,2471.0,18626.0,949.0,4031.0,703.0,12943.0,18626.0,-2383.0,1739.0,709.0,64.0,-2985.0,96.0,,,96.0,729.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Infosys,INFY,Information Technology,Mar 2023,146767,111637,35130,24%,2701,284,4225,33322.0,28%,24108,58.08,2069.0,73338.0,8299.0,40890.0,124596.0,29225.0,288.0,19478.0,75605.0,124596.0,22467.0,-1071.0,-26695.0,-5299.0,19888.0,63.0,,,63.0,31.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Astral,ASTRAL,Consumer Durables,Mar 2023,5158,4349,810,16%,37,40,178,628.0,25%,472,17.0,27.0,2684.0,87.0,1564.0,4362.0,1950.0,126.0,0.0,2286.0,4362.0,557.0,-478.0,-191.0,-112.0,247.0,25.0,96.0,88.0,33.0,17.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Oil India,OIL,Oil & Gas,Mar 2023,36084,20829,15255,42%,737,901,1947,13144.0,25%,9854,53.66,1084.0,37397.0,18832.0,16866.0,74179.0,18098.0,11953.0,27924.0,16204.0,74179.0,11410.0,-9130.0,-2521.0,-241.0,2886.0,24.0,244.0,83.0,185.0,24.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Dabur,DABUR,FMCG,Mar 2023,11530,9367,2162,19%,445,78,311,2219.0,23%,1701,9.64,177.0,8796.0,1174.0,3505.0,13652.0,3579.0,175.0,6265.0,3633.0,13652.0,1488.0,-583.0,-1035.0,-130.0,1003.0,27.0,158.0,171.0,14.0,-13.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Dhampur Sugar Mills,DHAMPURSUG,Agriculture,Mar 2023,2460,2152,308,12%,11,44,52,223.0,29%,158,23.72,66.0,976.0,744.0,335.0,2122.0,1045.0,103.0,2.0,971.0,2122.0,383.0,-146.0,-243.0,-6.0,234.0,29.0,129.0,35.0,123.0,20.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Sonata Software,SONATSOFTW,Information Technology,Mar 2023,7449,6845,604,8%,71,19,59,597.0,24%,452,16.12,14.0,1287.0,590.0,2466.0,4357.0,1732.0,1.0,220.0,2404.0,4357.0,268.0,-771.0,187.0,-316.0,227.0,61.0,2.0,87.0,-24.0,-34.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Aurobindo Pharma,AUROPHARMA,Pharmaceuticals,Mar 2023,24855,21148,3707,15%,291,140,1245,2612.0,26%,1928,32.9,59.0,26781.0,5286.0,7379.0,39505.0,11024.0,5390.0,543.0,22549.0,39505.0,2387.0,-3971.0,1814.0,230.0,-323.0,66.0,275.0,125.0,216.0,55.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
APL Apollo Tubes,APLAPOLLO,Metals & Mining,Mar 2023,16166,15143,1022,6%,46,67,138,863.0,26%,642,23.14,55.0,2950.0,873.0,1973.0,5852.0,2580.0,374.0,96.0,2801.0,5852.0,691.0,-876.0,143.0,-41.0,-151.0,3.0,39.0,42.0,0.0,1.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Divi’s Laboratories,DIVISLAB,Pharmaceuticals,Mar 2023,7768,5397,2370,31%,344,2,343,2369.0,23%,1823,68.69,53.0,12714.0,3.0,1654.0,14425.0,4723.0,212.0,77.0,9413.0,14425.0,2460.0,-2708.0,-797.0,-1045.0,1987.0,84.0,352.0,89.0,347.0,188.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
United Breweries,UBL,FMCG,Mar 2023,7500,6884,616,8%,16,5,211,417.0,27%,305,11.5,26.0,3938.0,16.0,2300.0,6280.0,1851.0,77.0,8.0,4344.0,6280.0,-120.0,-121.0,-292.0,-533.0,-274.0,68.0,321.0,161.0,228.0,49.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
LT Foods,LTFOODS,Agriculture,Mar 2023,6936,6235,701,10%,71,82,127,563.0,25%,423,11.6,35.0,2722.0,1221.0,1341.0,5319.0,995.0,27.0,127.0,4170.0,5319.0,258.0,-395.0,136.0,0.0,115.0,35.0,254.0,90.0,199.0,100.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Ratnamani Metals,RATNAMANI,Metals & Mining,Mar 2023,4474,3699,776,17%,32,31,83,694.0,26%,512,72.83,14.0,2590.0,237.0,939.0,3780.0,1122.0,101.0,135.0,2422.0,3780.0,310.0,-204.0,-116.0,-10.0,173.0,82.0,156.0,46.0,192.0,123.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Birlasoft,BSOFT,Information Technology,Mar 2023,4795,4273,522,11%,22,19,82,442.0,25%,332,12.06,55.0,2393.0,102.0,637.0,3187.0,736.0,6.0,563.0,1882.0,3187.0,561.0,252.0,-636.0,176.0,504.0,56.0,,,56.0,38.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Whirlpool of India,WHIRLPOOL,Consumer Durables,Mar 2023,6668,6297,371,6%,127,15,185,297.0,25%,224,17.26,127.0,3393.0,112.0,2268.0,5900.0,1917.0,20.0,0.0,3963.0,5900.0,270.0,-101.0,-101.0,68.0,90.0,24.0,120.0,131.0,13.0,16.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Persistent Systems,PERSISTENT,Information Technology,Mar 2023,8351,6831,1519,18%,41,47,272,1241.0,26%,921,60.24,76.0,3889.0,655.0,1999.0,6619.0,2341.0,16.0,640.0,3622.0,6619.0,956.0,-383.0,-404.0,169.0,524.0,69.0,,,69.0,20.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Blue Star,BLUESTARCO,Consumer Durables,Mar 2023,7977,7478,500,6%,195,55,85,555.0,28%,401,20.79,19.0,1311.0,662.0,3455.0,5447.0,859.0,83.0,148.0,4357.0,5447.0,243.0,-178.0,-76.0,-11.0,26.0,71.0,127.0,223.0,-25.0,2.0,181.88333333333333,5.4925,151.20833333333334,6.479166666666667,3.35,82.23371080018893,82.57637048970577
Tata Steel,TATASTEEL,Metals & Mining,Mar 2024,229171,206923,22248,10%,-6005,7508,9882,-1147.0,328%,-4910,-3.55,1247.0,90788.0,87082.0,90195.0,269312.0,148814.0,34356.0,6258.0,79885.0,269312.0,20301.0,-14253.0,-11097.0,-5049.0,2569.0,10.0,176.0,108.0,78.0,-59.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Lupin,LUPIN,Pharmaceuticals,Mar 2024,20011,16211,3800,19%,131,312,1197,2422.0,20%,1936,42.01,91.0,14199.0,2922.0,6539.0,23751.0,8878.0,773.0,1075.0,13026.0,23751.0,3648.0,-1712.0,-2184.0,-248.0,2732.0,86.0,272.0,163.0,195.0,53.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Allcargo Logistics,ALLCARGO,Ports & Infrastructure,Mar 2024,1633,1593,40,2%,249,38,19,231.0,12%,203,2.07,197.0,1035.0,575.0,507.0,2313.0,96.0,18.0,1463.0,736.0,2313.0,-156.0,-138.0,275.0,-19.0,-186.0,101.0,,,101.0,-33.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Chennai Petroleum,CHENNPETRO,Oil & Gas,Mar 2024,66024,61548,4476,7%,47,224,606,3694.0,26%,2745,184.34,149.0,8672.0,2786.0,6768.0,18375.0,7506.0,210.0,240.0,10419.0,18375.0,2694.0,-589.0,-2106.0,-1.0,2092.0,3.0,48.0,26.0,24.0,9.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Petronet LNG,PETRONET,Oil & Gas,Mar 2024,52729,47520,5209,10%,605,290,777,4748.0,26%,3652,24.35,1500.0,15910.0,3008.0,5131.0,25549.0,8147.0,1552.0,617.0,15233.0,25549.0,4871.0,-1056.0,-2154.0,1661.0,4030.0,25.0,12.0,23.0,14.0,9.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Dhanuka Agritech,DHANUKA,Agriculture,Mar 2024,1759,1431,327,19%,35,3,41,319.0,25%,239,52.46,9.0,1247.0,27.0,296.0,1579.0,338.0,28.0,240.0,973.0,1579.0,134.0,-81.0,-57.0,-3.0,46.0,72.0,159.0,57.0,174.0,140.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Godrej Consumer Products,GODREJCP,FMCG,Mar 2024,14096,11139,2957,21%,-2209,310,241,198.0,383%,-561,-5.48,102.0,12496.0,3222.0,2571.0,18392.0,10440.0,83.0,3504.0,4365.0,18392.0,2070.0,-3431.0,1406.0,45.0,1793.0,40.0,73.0,97.0,16.0,-60.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
KEC International,KEC,Ports & Infrastructure,Mar 2024,19914,18556,1359,7%,50,797,185,426.0,19%,347,13.49,51.0,4044.0,3961.0,10975.0,19031.0,1628.0,14.0,0.0,17389.0,19031.0,311.0,-243.0,-145.0,-76.0,78.0,76.0,53.0,401.0,-272.0,25.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Britannia,BRITANNIA,FMCG,Mar 2024,16769,13603,3167,19%,211,164,300,2913.0,27%,2134,88.84,24.0,3917.0,2065.0,3065.0,9072.0,2771.0,188.0,2767.0,3346.0,9072.0,2573.0,485.0,-2839.0,219.0,2085.0,9.0,45.0,63.0,-9.0,-30.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
KRBL,KRBL,Agriculture,Mar 2024,5385,4582,802,15%,97,24,79,796.0,25%,596,26.03,23.0,4835.0,545.0,525.0,5927.0,903.0,13.0,115.0,4896.0,5927.0,224.0,-85.0,-157.0,-18.0,141.0,21.0,425.0,12.0,433.0,264.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Laurus Labs,LAURUSLABS,Pharmaceuticals,Mar 2024,5041,4261,779,15%,24,183,385,236.0,29%,162,2.98,108.0,4003.0,2577.0,1699.0,8387.0,3890.0,423.0,124.0,3950.0,8387.0,666.0,-822.0,250.0,93.0,-10.0,120.0,277.0,158.0,240.0,42.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Gujarat Mineral Development Corp,GMDCLTD,Metals & Mining,Mar 2024,2463,1853,609,25%,271,3,80,798.0,25%,597,18.78,64.0,6036.0,3.0,1266.0,7369.0,1551.0,292.0,566.0,4960.0,7369.0,110.0,254.0,-365.0,0.0,-366.0,15.0,,,15.0,228.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Gujarat Narmada Valley Fertilizers & Chemicals (GNFC),GNFC,Agriculture,Mar 2024,7930,7428,502,6%,469,13,308,651.0,26%,497,33.83,147.0,8162.0,3.0,2405.0,10717.0,3238.0,289.0,3030.0,4160.0,10717.0,31.0,1235.0,-1281.0,-14.0,-218.0,29.0,94.0,42.0,81.0,58.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Coal India,COALINDIA,Metals & Mining,Mar 2024,144762,96791,47971,33%,8396,819,6735,48813.0,23%,37369,60.69,6163.0,76567.0,6523.0,147217.0,236470.0,75668.0,18960.0,7110.0,134731.0,236470.0,18103.0,-4486.0,-13899.0,-282.0,1353.0,33.0,,,33.0,25.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
JSW Steel,JSWSTEEL,Metals & Mining,Mar 2024,175006,146849,28157,16%,1500,8105,8172,13380.0,33%,8973,36.03,305.0,77364.0,87984.0,62245.0,227898.0,112461.0,29676.0,7246.0,78515.0,227898.0,12078.0,-14467.0,-5005.0,-7394.0,-3469.0,16.0,151.0,133.0,33.0,-29.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Havells India,HAVELLS,Consumer Durables,Mar 2024,18590,16709,1881,10%,249,84,338,1707.0,26%,1271,20.28,63.0,7384.0,303.0,4683.0,12433.0,3988.0,299.0,20.0,8126.0,12433.0,1953.0,-1618.0,-534.0,-199.0,1191.0,23.0,102.0,81.0,44.0,11.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Crompton Greaves Consumer Electricals,CROMPTON,Consumer Durables,Mar 2024,7313,6599,714,10%,67,79,129,573.0,23%,442,6.84,129.0,2871.0,683.0,2399.0,6082.0,3197.0,58.0,689.0,2137.0,6082.0,843.0,-207.0,-541.0,95.0,763.0,36.0,61.0,96.0,1.0,-15.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Balrampur Chini Mills,BALRAMCHIN,Agriculture,Mar 2024,5594,4808,786,14%,206,84,166,742.0,28%,534,26.49,20.0,3381.0,2009.0,678.0,6088.0,2639.0,46.0,339.0,3064.0,6088.0,178.0,-225.0,47.0,0.0,-43.0,8.0,268.0,26.0,250.0,60.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Greenply Industries,GREENPLY,Consumer Durables,Mar 2024,2180,1994,185,9%,12,43,55,100.0,30%,70,5.66,12.0,697.0,549.0,405.0,1663.0,865.0,12.0,43.0,742.0,1663.0,111.0,-144.0,47.0,14.0,-21.0,42.0,96.0,92.0,46.0,22.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
GSPL,GSPL,Oil & Gas,Mar 2024,17295,13887,3407,20%,248,56,664,2935.0,26%,2184,29.41,564.0,10261.0,140.0,8091.0,19056.0,10779.0,1680.0,1889.0,4708.0,19056.0,2803.0,-2142.0,-547.0,114.0,1550.0,24.0,,,24.0,-9.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Indraprastha Gas,IGL,Oil & Gas,Mar 2024,14000,11612,2388,17%,596,28,414,2542.0,22%,1983,14.18,140.0,9493.0,81.0,4510.0,14225.0,6603.0,1396.0,2222.0,4003.0,14225.0,1532.0,-1103.0,-316.0,113.0,303.0,27.0,2.0,37.0,-8.0,-72.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
DLF,DLF,Real Estate,Mar 2024,6427,4303,2124,33%,531,356,148,2151.0,24%,2724,11.02,495.0,38936.0,4834.0,14804.0,59069.0,3880.0,71.0,20138.0,34981.0,59069.0,2539.0,-1529.0,177.0,1186.0,3166.0,31.0,,,31.0,745.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Godrej Agrovet,GODREJAGRO,Agriculture,Mar 2024,9561,8856,704,7%,90,108,214,473.0,24%,359,18.71,192.0,2324.0,1416.0,1734.0,5667.0,2806.0,192.0,177.0,2492.0,5667.0,678.0,-327.0,-328.0,23.0,301.0,20.0,70.0,32.0,58.0,1.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
MRPL,MRPL,Oil & Gas,Mar 2024,90407,82550,7857,9%,42,1119,1257,5523.0,35%,3597,20.52,1753.0,11530.0,12687.0,9467.0,35437.0,20410.0,744.0,48.0,14234.0,35437.0,7051.0,-1524.0,-5524.0,3.0,5509.0,16.0,38.0,33.0,21.0,1.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
NCC Ltd.,NCC,Ports & Infrastructure,Mar 2024,20845,19076,1769,8%,99,595,212,1061.0,30%,740,11.32,126.0,6514.0,980.0,10475.0,18095.0,1565.0,41.0,155.0,16334.0,18095.0,1359.0,-319.0,-771.0,270.0,1109.0,55.0,87.0,325.0,-184.0,45.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Cyient,CYIENT,Information Technology,Mar 2024,7147,5844,1303,18%,-2,116,267,918.0,23%,703,61.57,56.0,4203.0,788.0,1883.0,6928.0,2826.0,57.0,436.0,3609.0,6928.0,726.0,-537.0,-266.0,-77.0,648.0,64.0,177.0,189.0,52.0,43.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Alembic Pharma,APLLTD,Pharmaceuticals,Mar 2024,6229,5296,932,15%,28,56,273,632.0,3%,616,31.33,39.0,4779.0,513.0,1114.0,6446.0,2547.0,524.0,93.0,3281.0,6446.0,803.0,-321.0,-438.0,45.0,487.0,60.0,350.0,157.0,253.0,88.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Ajanta Pharma,AJANTPHARM,Pharmaceuticals,Mar 2024,4209,3037,1172,28%,85,7,135,1114.0,27%,816,63.7,25.0,3542.0,35.0,927.0,4530.0,1479.0,256.0,349.0,2446.0,4530.0,785.0,65.0,-1051.0,-201.0,646.0,108.0,283.0,159.0,233.0,119.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Sobha,SOBHA,Real Estate,Mar 2024,3097,2820,277,9%,121,246,78,74.0,34%,49,4.59,95.0,2419.0,1940.0,9228.0,13682.0,946.0,5.0,115.0,12615.0,13682.0,647.0,-475.0,-338.0,-166.0,524.0,19.0,,,19.0,19.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Wipro,WIPRO,Information Technology,Mar 2024,89760,73008,16752,19%,2631,1255,3407,14721.0,25%,11112,10.57,1045.0,73488.0,16465.0,23611.0,114609.0,43628.0,723.0,33384.0,36873.0,114609.0,17622.0,1144.0,-18257.0,509.0,16973.0,47.0,,,47.0,-4.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Zydus Lifesciences,ZYDUSLIFE,Pharmaceuticals,Mar 2024,19547,14163,5384,28%,293,81,764,4832.0,20%,3973,38.36,101.0,19729.0,804.0,8201.0,28834.0,12368.0,2423.0,1220.0,12822.0,28834.0,3228.0,-1492.0,-1810.0,-75.0,2345.0,97.0,202.0,125.0,175.0,88.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Sharda Cropchem,SHARDACROP,Agriculture,Mar 2024,3163,2860,303,10%,60,24,267,72.0,56%,32,3.53,90.0,2147.0,18.0,1773.0,4028.0,708.0,283.0,159.0,2878.0,4028.0,341.0,-393.0,-37.0,-89.0,69.0,173.0,155.0,144.0,184.0,128.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Natco Pharma,NATCOPHARM,Pharmaceuticals,Mar 2024,3999,2245,1754,44%,126,19,187,1674.0,17%,1388,77.51,36.0,5817.0,371.0,682.0,6906.0,2491.0,137.0,539.0,3739.0,6906.0,1212.0,-1026.0,-247.0,-62.0,855.0,109.0,357.0,120.0,345.0,151.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Supreme Industries,SUPREMEIND,Consumer Durables,Mar 2024,10134,8587,1547,15%,173,16,298,1405.0,24%,1070,84.21,25.0,5083.0,55.0,1392.0,6556.0,2322.0,149.0,638.0,3447.0,6556.0,1413.0,-591.0,-382.0,441.0,866.0,18.0,74.0,55.0,37.0,30.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Vedanta,VEDL,Metals & Mining,Mar 2024,143727,108415,35312,25%,5241,9465,10723,20365.0,63%,7539,11.4,372.0,30350.0,87706.0,69690.0,188118.0,98963.0,22889.0,11869.0,54397.0,188118.0,35654.0,-13676.0,-26092.0,-4114.0,19097.0,9.0,107.0,83.0,33.0,-107.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Alkem Laboratories,ALKEM,Pharmaceuticals,Mar 2024,12668,10419,2249,18%,186,112,299,2023.0,10%,1811,150.19,24.0,10288.0,1418.0,3844.0,15575.0,2873.0,159.0,484.0,12060.0,15575.0,1948.0,-1011.0,-1145.0,-207.0,1761.0,65.0,197.0,129.0,132.0,135.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
eClerx Services,ECLERX,Information Technology,Mar 2024,2926,2150,776,27%,64,24,126,689.0,26%,512,52.14,48.0,2199.0,266.0,406.0,2919.0,843.0,1.0,406.0,1669.0,2919.0,526.0,-483.0,-107.0,-64.0,462.0,62.0,,,62.0,61.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
ONGC,ONGC,Oil & Gas,Mar 2024,601581,499198,102383,17%,14712,13026,30440,73629.0,25%,55273,39.06,6290.0,332779.0,191195.0,206357.0,736621.0,317183.0,118729.0,100862.0,199847.0,736621.0,98847.0,-57423.0,-45009.0,-3586.0,60965.0,12.0,87.0,61.0,38.0,-46.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Indian Oil,IOC,Oil & Gas,Mar 2024,776352,700702,75650,10%,5384,7881,15866,57288.0,25%,43161,29.55,13772.0,169645.0,132628.0,166639.0,482683.0,195998.0,61032.0,65542.0,160111.0,482683.0,71146.0,-31512.0,-39385.0,250.0,34453.0,6.0,70.0,34.0,42.0,-33.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Graphite India,GRAPHITE,Metals & Mining,Mar 2024,2950,3093,-143,-5%,1258,17,80,1017.0,21%,805,41.36,39.0,5572.0,177.0,1002.0,6790.0,948.0,145.0,3569.0,2128.0,6790.0,680.0,-239.0,-427.0,14.0,1396.0,65.0,252.0,30.0,287.0,118.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Dr. Reddy’s,DRREDDY,Pharmaceuticals,Mar 2024,28011,20078,7933,28%,909,171,1470,7201.0,23%,5578,66.87,83.0,28171.0,2002.0,8523.0,38780.0,10426.0,1419.0,4930.0,22004.0,38780.0,4543.0,-4034.0,-376.0,133.0,1908.0,105.0,283.0,116.0,271.0,118.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Macrotech Developers,LODHA,Real Estate,Mar 2024,10316,7651,2665,26%,48,482,204,2028.0,23%,1554,15.58,994.0,16475.0,7698.0,22031.0,47198.0,1169.0,4.0,2500.0,43524.0,47198.0,2512.0,-2947.0,951.0,516.0,2346.0,28.0,,,28.0,442.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
Astec LifeSciences,ASTEC,Agriculture,Mar 2024,458,464,-6,-1%,6,25,36,-62.0,-24%,-47,-20.95,20.0,350.0,494.0,112.0,975.0,386.0,165.0,0.0,424.0,975.0,10.0,-135.0,125.0,0.0,-125.0,135.0,224.0,102.0,256.0,-1.0,190.88333333333333,4.405,153.625,6.5,3.35,79.79264091281264,83.66913929576144
